iter	Passed	Remaining
411	12327	17594
412	12360	17567
413	12392	17541
414	12418	17506
415	12449	17476
416	12475	17441
417	12508	17415
418	12544	17394
419	12569	17358
420	12598	17326
421	12638	17311
422	12657	17266
423	12684	17232
424	12709	17195
425	12738	17163
426	12762	17126
427	12784	17085
428	12808	17048
429	12834	17013
430	12855	431	12431	12878	432	12432	12901	433	12433	12928	434	12434	12950	435	12435	12974	436	13436	12995	437	13060	16758
438	13091	16729
439	13115	16692
440	13139	16655
441	13170	16626
442	13193	16588
443	13217	16551
444	13246	16520
445	13288	16506
446	13324	16484
447	13357	16457
448	13400	16444
449	13445	16433
450	13480	16409
451	13528	16402
452	13567	16382
453	13595	16350
454	13617	16310
455	13647	16281
456	13679	16253
457	13704	16217
458	13738	16193
459	13770	16165
460	13801	16137
461	13835	16111
462	13870	16087
463	13898	16055
464	13934	16031
465	13958	15995
466	13997	15975
467	14020	15938
468	14049	15906
469	14098	15897
470	14142	15884
471	14187	15870
472	14228	15852
473	14255	15819
474	14292	15797
475	14328	15772
476	14364	15750
477	14399	15725
478	14434	15700
479	14464	15670
480	14498	15643
481	14524	15609
482	14558	15583
483	14590	15555
484	14618	15522
485	14648	15492
486	14686	15470
487	14712	15435
488	14742	15405
489	14768	15371
490	14799	15341
491	14832	15314
492	14858	15280
493	14880	15241
494	14907	15208
495	14931	15172
496	14961	15142
497	14993	15113
498	15020	15080
499	15054	15054
500	15084	15024
501	15114	14994
502	15145	14965
503	15174	14934
504	15197	14896
505	15223	14862
506	15254	14833
507	15288	14807
508	15315	14773
509	15347	14745
510	15377	14715
511	15401	14679
512	15426	14644
513	15448	14607
514	15475	14574
515	15501	14540
516	15530	14508
517	15559	14478
518	15588	14447
519	15621	14420
520	15644	14383
521	15668	14347
522	15696	14315
523	15716	14276
524	15742	14243
525	15765	14206
526	15795	14176
527	15823	14145
528	15848	14111
529	15874	14077
530	15907	14049
531	15937	14020
532	15964	13987
533	15983	13948
534	16014	13919
535	16046	13891
536	16076	13860
537	16106	13831
538	16130	13796
539	16159	13765
540	16184	13731
541	16209	13697
542	16240	13668
543	16264	13633
544	16287	13598
545	16318	13569
546	16344	13535
547	16370	13502
548	16392	13465
549	16414	13429
550	16442	13398
551	16468	13365
552	16493	13332
553	16531	13308
554	16555	13274
555	16581	13241
556	16603	13204
557	16628	13171
558	16652	13136
559	16688	13112
560	16714	13079
561	16736	13043
562	16758	13008
563	16788	12978
564	16816	12947
565	16845	12916
566	16867	12881
567	16894	12849
568	16919	12815
569	16946	12784
570	16971	12751
571	17001	12721
572	17026	12688
573	17047	12652
574	17070	12617
575	17095	12583
576	17128	12556
577	17151	12522
578	17182	12493
579	17214	12465
580	17243	12435
581	17262	12398
582	17285	12363
583	17316	12334
584	17343	12303
585	17372	12273
586	17395	12239
587	17419	12205
588	17442	12171
589	17471	12141
590	17498	12109
591	17525	12078
592	17549	12045
593	17569	12008
594	17594	11976
595	17614	11940
596	17643	11910
597	17677	11883
598	17707	11854
599	17731	11821
600	17755	11788
601	17783	11756
602	17806	11723
603	17833	11692
604	17863	11662
605	17888	11630
606	17912	11597
607	17939	11566
608	17964	11533
609	17989	11501
610	18014	11469
611	18038	11436
612	18064	11404
613	18093	11374
614	18121	11344
615	18139	11307
616	18166	11276
617	18194	11246
618	18222	11215
619	18252	11186
620	18273	11152
621	18296	11118
622	18322	11087
623	18349	11056
624	18375	11025
625	18406	10996
626	18437	10968
627	18468	10939
628	18500	10912
629	18536	10886
630	18555	10850
631	18579	10818
632	18615	10793
633	18641	10761
634	18663	10727
635	18697	10700
636	18722	10669
637	18752	10640
638	18780	10609
639	18803	10576
640	18833	10548
641	18854	10514
642	18882	10483
643	18904	10450
644	18926	10417
645	18946	10382
646	18980	10355
647	19005	10323
648	19027	10290
649	19054	10259
650	19083	10230
651	19108	10198
652	19131	10166
653	19161	10137
654	19189	10107
655	19215	10076
656	19233	10041
657	19268	10014
658	19298	9986
659	19323	9954
660	19353	9925
661	19382	9896
662	19409	9865
663	19434	9834
664	19459	9803
665	19482	9770
666	19509	9740
667	19541	9712
668	19563	9679
669	19589	9648
670	19616	9617
671	19644	9588
672	19672	9558
673	19701	9529
674	19730	9499
675	19754	9468
676	19775	9434
677	19801	9404
678	19828	9373
679	19853	9342
680	19879	9311
681	19901	9279
682	19933	9251
683	19959	9220
684	19989	9192
685	20017	9162
686	20041	9131
687	20067	9100
688	20097	9071
689	20119	9039
690	20138	9005
691	20162	8973
692	20184	8941
693	20209	8910
694	20234	8879
695	20268	8853
696	20294	8822
697	20325	8793
698	20348	8762
699	20381	8734
700	20406	8704
701	20428	8671
702	20455	8641
703	20483	8612
704	20513	8583
705	20547	8556
706	20573	8526
707	20591	8492
708	20614	8460
709	20637	8429
710	20657	8396
711	20679	8364
712	20704	8333
713	20723	8301
714	20749	8270
715	20773	8239
716	20796	8208
717	20820	8177
718	20847	8147
719	20879	8119
720	20909	8091
721	20934	8060
722	20958	8029
723	20976	7996
724	20995	7963
725	21016	7931
726	21035	7899
727	21055	7866
728	21080	7836
729	21105	7806
730	21126	7774
731	21150	7743
732	21173	7712
733	21199	7682
734	21220	7651
735	21241	7619
736	21261	7587
737	21288	7557
738	21314	7527
739	21740	21313740	21741	21348741	21742	21376742	21743	21402	7364
744	21432	7335
745	21454	7304
746	21478	7274
747	21511	7247
748	21541	7218
749	21581	7193
750	21616	7167
751	21652	7140
752	21698	7117
753	21733	7090
754	21765	7063
755	21794	7034
756	21823	7005
757	21856	6978
758	21886	6949
759	21916	6921
760	21948	6893
761	21976	6864
762	22007	6836
763	22040	6808
764	22065	6778
765	22101	6751
766	22132	6723
767	22155	6692
768	22175	6661
769	22204	6632
770	22232	6603
771	22262	6574
772	22288	6545
773	22320	6517
774	22348	6488
775	22368	6456
776	22389	6425
777	22425	6399
778	22451	6369
779	22474	6339
780	22500	6309
781	22523	6278
782	22552	6250
783	22579	6220
784	22615	6194
785	22652	6167
786	22689	6140
787	22734	6116
788	22768	6089
789	22797	6060
790	22824	6030
791	22850	6001
792	22880	5972
793	22914	5945
794	22940	5915
795	22965	5885
796	22990	5855
797	23018	5826
798	23050	5798
799	23083	5770
800	23103	5739
801	23129	5710
802	23153	5680
803	23180	5650
804	23204	5620
805	23231	5591
806	23262	5563
807	23298	5536
808	23323	5506
809	23346	5476
810	23373	5447
811	23398	5417
812	23422	5387
813	23449	5358
814	23476	5329
815	23508	5301
816	23537	5272
817	23562	5242
818	23585	5212
819	23609	5182
820	23641	5154
821	23665	5124
822	23691	5095
823	23717	5065
824	23740	5035
825	23769	5007
826	23799	4978
827	23829	4950
828	23854	4920
829	23882	4891
830	23906	4861
831	23936	4833
832	23961	4803
833	23985	4774
834	24013	4745
835	24038	4715
836	24065	4686
837	24095	4658
838	24122	4629
839	24147	4599
840	24175	4570
841	24202	4541
842	24222	4511
843	24246	4481
844	24274	4452
845	24299	4423
846	24332	4395
847	24354	4365
848	24381	4336
849	24413	4308
850	24443	4279
851	24469	4250
852	24492	4220
853	24515	4191
854	24544	4162
855	24576	4134
856	24608	4106
857	24631	4076
858	24653	4046
859	24681	4017
860	24713	3989
861	24743	3961
862	24776	3933
863	24805	3904
864	24832	3875
865	24862	3847
866	24897	3819
867	24928	3791
868	24959	3762
869	24983	3733
870	25006	3703
871	25047	3676
872	25082	3648
873	25119	3621
874	25151	3593
875	25195	3566
876	25224	3537
877	25255	3509
878	25284	3480
879	25316	3452
880	25351	3424
881	25381	3395
882	25408	3366
883	25437	3337
884	25471	3309
885	25503	3281
886	25535	3253
887	25577	3225
888	25617	3198
889	25652	3170
890	25686	3142
891	25713	3113
892	25742	3084
893	25775	3056
894	25804	3027
895	25827	2997
896	25852	2968
897	25878	2939
898	25908	2910
899	25939	2882
900	25968	2853
901	25999	2824
902	26029	2796
903	26052	2766
904	26079	2737
905	26108	2708
906	26132	2679
907	26161	2650
908	26186	2621
909	26211	2592
910	26241	2563
911	26268	2534
912	26293	2505
913	26318	2476
914	26352	2448
915	26387	2419
916	26417	2391
917	26449	2362
918	26478	2333
919	26516	2305
920	26547	2277
921	26575	2248
922	26600	2219
923	26625	2189
924	26653	2161
925	26680	2132
926	26706	2103
927	26735	2074
928	26762	2045
929	26788	2016
930	26814	1987
931	26838	1958
932	26863	1929
933	26887	1899
934	26914	1871
935	26938	1841
936	26970	1813
937	26987	1783
938	27009	1754
939	27028	1725
940	27047	1695
941	27068	1666
942	27087	1637
943	27107	1608
944	27130	1579
945	27150	1549
946	27171	1520
947	27191	1491
948	27210	1462
949	27230	1433
950	27252	1404
