페이지	키워드	제목	url
1	킥보드	킥보드 음주운전에 지구대 난동까지	
1	킥보드	방치된 킥보드 견인한다면서…준비된 구청은 5곳뿐	
1	킥보드	공유킥보드 알파카, “지난 1년 지방 일자리 창출에 기여했다”	
1	킥보드	알파카, 공유 전동 킥보드 지역 파트너 사업으로 지방 교통 문제 해결과 일자리 창출	
1	킥보드	[자막뉴스] 주한미군 만취 킥보드 뺑소니…경찰, 뒤쫓아 체포	
1	킥보드	알파카, 지역 파트너 사업으로 지방 교통 문제 해결	
1	킥보드	알파카, 공유 전동 킥보드 지역 파트너 사업으로 지방 교통 문제 해결과 일자리 창출 기여	
1	킥보드	[뉴스체크｜사회] 맨홀 보수하던 50대 폭우에 사망	
1	킥보드	팅크웨어, 킥보드·자전거등 위한 모빌리티 캠 출시	
1	킥보드	[3040칼럼] 갈 길 먼 차별없는 세상	
2	킥보드	마이크로 모빌리티(Micro Mobility) 정의는?	
2	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1'	
2	킥보드	6억 이하 1주택 재산세율 인하…투명 페트병 분리배출해야	
2	킥보드	울산 태화강 국가정원길 '걷고 싶은' 특화거리 조성...노상주차장 이전이 관건	
2	킥보드	전동킥보드 ‘노헬멧’ 여전…“차라리 속도 낮추겠다”	
2	킥보드	기자수첩/ 공유킥보드 안전장비 착용, 현실성 고려해야 하지 않나	
2	킥보드	주한미군 만취 킥보드 뺑소니…현행범 체포	
2	킥보드	전동킥보드 ‘노헬멧’ 여전…“차라리 속도 낮추겠다”	
2	킥보드	[르포] 전동킥보드법 개정 한 달… 안전모 미착용 무법자 질주	
2	킥보드	2K 지원 초소형 모빌리티캠 '아이나비 스포츠 MC-1' 출시	
3	킥보드	'음주 후 전동킥보드 뺑소니' 주한미군 현행범 체포..."면허 취소"	
3	킥보드	"이태원 술 취한 킥라니" 길가던 여성 치고 뺑소니, 주한미군 체포	
3	킥보드	"젊은 환자 대부분은"…전동 킥보드 위험 관심↑	
3	킥보드	인천지역 교통사망사고 증가추세…인천시·인천경찰청 대응 총력	
3	킥보드	음주한 상태서 킥보드 탔던 주한미군, 뺑소니 후 도주까지	
3	킥보드	씽씽, 지자체와 안전한 보행환경 구축 나선다	
3	킥보드	[다시보기] 6월 28일 (월) 오후 사이언스 투데이	
3	킥보드	원래 그런 아이는 없었다.	
3	킥보드	팅크웨어, 모빌리티 캠 아이나비 스포츠 MC-1 출시	
3	킥보드	"저게 뭐예요?" 갑자기 나타난 공유 전동킥보드…'관심과 걱정' 엇갈려	
4	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
4	킥보드	'만취상태' 전동킥보드 타다 뺑소니 낸 주한미군 체포	
4	킥보드	전동킥보드 음주운전도 처벌...혈중 알콜농도 0.08% 이상 면허 취소	
4	킥보드	팅크웨어, 초소형 모빌리티 캠 ‘아이나비 스포츠 MC-1’ 출시…2K 화질 지원	
4	킥보드	팅크웨어, 초소형 모빌리티 캠 ‘아이나비 스포츠 MC-1’ 출시	
4	킥보드	K8 오디오 뭐야? '모비스-메리디안' 협업한 프리미엄 사운드 호평	
4	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
4	킥보드	나주 도로에서 전동킥보드 치고 달아난 버스기사 징역형	
4	킥보드	돌고 돌아 결국... 킥보드에 헬멧 부착이 대세	
4	킥보드	10월부터 어린이보호구역 주정차 금지 … 전동킥보드 주정차 허용구역은 확대	
5	킥보드	[단독] 만취한 주한미군 킥보드 타다 행인 '쿵'…줄행랑	
5	킥보드	블랙박스 명가에서 만든 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
5	킥보드	전동킥보드 방치·반려동물 유기 문제, 국민 아이디어로 해결한다	
5	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
5	킥보드	팅크웨어, 모빌리티 캠 ‘아이나비스포츠 MC-1’ 선봬	
5	킥보드	팅크웨어, 2K 초소형 모빌리티 캠 ''아이나비 스포츠 MC-1'' 출시	
5	킥보드	팅크웨어, 2K화질 지원 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
5	킥보드	”차라리 시속 낮추겠다”…전동킥보드 ‘노헬멧’ 여전	
5	킥보드	의정단상·김나윤> PM(Personal mobility), 편리와 안전 사이	
5	킥보드	팅크웨어 '아이나비 스포츠 MC-1' 출시	
6	킥보드	[다시보기] 6월 28일 (월) 오전 사이언스 투데이	
6	킥보드	공유킥보드 업계, 속속 헬멧 제공키로	
6	킥보드	전동킥보드 방치·반려동물 유기 문제, 국민 아이디어로 해결	
6	킥보드	전동 킥보드 단속 한 달...법규 위반 2,200여 건 적발	
6	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
6	킥보드	“자전거, 킥보드에 딱이죠” 팅크웨어, 2K화질 초소형 모빌리티 캠 출시	
6	킥보드	10월부터 모든 차량 어린이보호구역 주정차 금지…안전표지 지정 장소는 예외	
6	킥보드	법정 최고 금리 20%로, 52시간제 5인 이상 기업 확대	
6	킥보드	팅크웨어, 초소형 모빌리티 캠 ‘아이나비 스포츠 MC-1’ 출시	
6	킥보드	팅크웨어, 초소형 모빌리티 캠 ‘아이나비 스포츠 MC-1’ 출시	
7	킥보드	팅크웨어, 초소형 모빌리티 캠 '아이나비 스포츠 MC-1' 출시	
