페이지	좋아요	제목	작성자	날짜	URL
2	6	JTBC 스튜디오, 콘텐츠지음 등 제작사 3곳 인수…경쟁력 강화	임종헌	2021-06-25	https://outstanding.krhttps://entertain.naver.com/read?oid=018&aid=0004966246
2	6	"형식 파괴·가상현실 모두 OK"...대세로 자리잡은 ‘쇼트폼’과 ‘가상’	황금빛	2021-06-25	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002225982
2	6	총알·새벽배송 꼭 필요한가요? 쿠팡이 쏘아올린 배송 논쟁	임종헌	2021-06-28	https://outstanding.krhttps://news.v.daum.net/v/20210626030608164
2	6	안데르센 호로위츠, 22억 달러 규모 암호자산 펀드 설립	임종헌	2021-06-28	https://outstanding.krhttps://techrecipe.co.kr/posts/30605
2	5	1년간 가장 인기 끈 금융데이터는?	조혜리	2021-06-23	https://outstanding.krhttps://byline.network/2021/06/22-134/
2	5	심상찮은 국제유가..2년 만에 최고점 찍었다	조혜리	2021-06-23	https://outstanding.krhttps://news.v.daum.net/v/20210623115105116
2	5	네이버 '동네시장 장보기' 100호 돌파…거래액 1500% 증가	황금빛	2021-06-23	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=277&aid=0004924935
2	5	릴레이 상장폐지 속 살아남는 코인 판별법	임종헌	2021-06-23	https://outstanding.krhttps://news.v.daum.net/v/20210623132609590
2	5	계란 팔아 연매출 140억원, ‘애월아빠들’의 비밀	임종헌	2021-06-24	https://outstanding.krhttps://byline.network/2021/06/24-119/
2	5	올 주가 3448% 껑충 ‘쿠키런’…‘2박3일 제주 합숙’이 출발점	황금빛	2021-06-24	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=025&aid=0003112908
2	5	윈도우 안으로 안드로이드 앱 생태계를 끌어들이다..베일 벗은 'MS 윈도우11'	임종헌	2021-06-25	https://outstanding.krhttps://news.v.daum.net/v/20210625085408301
2	5	역시 플랫폼이어라…테크핀 업체의 기업가치	임종헌	2021-06-25	https://outstanding.krhttps://byline.network/2021/06/24-127/
2	5	한국출판인회의, '구글 인앱결제 강제화 저지' 온라인 서명	정의민 기자	2021-06-25	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0004967142
2	5	新 소재는 과연 지속가능한 과학일까?	임종헌	2021-06-25	https://outstanding.krhttp://fpost.co.kr/board/bbs/board.php?bo_table=special&wr_id=697
2	5	소비자 반응 없는 우리 회사 홍보글, 뭐가 문제일까?	임종헌	2021-06-25	https://outstanding.krhttps://m.post.naver.com/viewer/postView.naver?volumeNo=31828130&memberNo=22700030
2	5	트위터가 구독 서비스로 노리는 것	임종헌	2021-06-25	https://outstanding.krhttps://medium.com/%EB%A7%A5%EA%B0%A4%EB%9F%AC%EB%A6%AC/%ED%8A%B8%EC%9C%84%ED%84%B0%EA%B0%80-%EA%B5%AC%EB%8F%85-%EC%84%9C%EB%B9%84%EC%8A%A4%EB%A1%9C-%EB%85%B8%EB%A6%AC%EB%8A%94-%EA%B2%83-b03460ceac7
2	5	기술 앞세워 글로벌 시장 공략에 나서는 AI 스타트업들	임종헌	2021-06-25	https://outstanding.krhttp://www.aitimes.kr/news/articleView.html?idxno=21461
2	5	‘망 사용료 소송’ 패소한 넷플릭스…줄소송 이어질 가능성도	황금빛	2021-06-25	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=016&aid=0001853212
2	5	'카카오맵 어쩌나'⋯한진, 택배차량 활용' 거리뷰+도로정보 DB수집' 신사업 진행	임종헌	2021-06-28	https://outstanding.krhttps://www.asiatime.co.kr/article/20210628500055
2	5	이베이 안고 2등 된 이마트, 앞으로 유통업계는?	임종헌	2021-06-28	https://outstanding.krhttps://now.rememberapp.co.kr/2021/06/28/13423/
2	5	구글의 흑인 창업자 펀드와 다양성 문제	임종헌	2021-06-28	https://outstanding.krhttps://techneedle.com/archives/41912
2	5	넷플릭스 공짜망 사용 '세기의 소송' 결론은?	조혜리	2021-06-22	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=008&aid=0004605292
2	4	“몰락의 씨앗은 잘 나갈때 뿌려진다” 위기의 실리콘밸리 리더십	황금빛	2021-06-23	https://outstanding.krhttps://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=023&aid=0003621658
2	4	“트위터 트렌드, 절반 가까이는 봇으로 조작한 것”	임종헌	2021-06-23	https://outstanding.krhttps://techrecipe.co.kr/posts/29846
