iter	Passed	Remaining
272	5285	14074
273	5302	14048
274	5316	14014
275	5331	13986
276	5349	13962
277	5366	13937
278	5388	13924
279	5405	13900
280	5424	13879
281	5443	13859
282	5458	13829
283	5476	13806
284	5492	13780
285	5509	13755
286	5528	13734
287	5546	13712
288	5561	13681
289	5578	13656
290	5595	13633
291	5610	13604
292	5629	13583
293	5645	13558
294	5664	13536
295	5681	13512
296	5698	13489
297	5715	13463
298	5731	13436
299	5748	13412
300	5766	13390
301	5782	13364
302	5797	13337
303	5815	13313
304	5830	13286
305	5844	13255
306	5861	13230
307	5881	13214
308	5899	13193
309	5920	13177
310	5935	13150
311	5953	13127
312	5968	13100
313	5984	13074
314	6002	13052
315	6017	13025
316	6035	13004
317	6050	12977
318	6066	12951
319	6083	12927
320	6104	12911
321	6121	12888
322	6140	12871
323	6157	12847
324	6176	12828
325	6193	12804
326	6211	12784
327	6228	12759
328	6243	12734
329	6259	12709
330	6277	12686
331	6293	12663
332	6312	12643
333	6330	12622
334	6347	12600
335	6363	12576
336	6382	12557
337	6399	12534
338	6423	12525
339	6440	12502
340	6457	12478
341	6473	12454
342	6491	12434
343	6508	12411
344	6526	12391
345	6545	12372
346	6567	12359
347	6584	12336
348	6594	12301
349	6603	12264
350	6613	12227
351	6622	12192
352	6632	12155
353	6640	12118
354	6650	12082
355	6661	12050
356	6670	12014
357	6680	11979
358	6690	11946
359	6700	11911
360	6710	11877
361	6719	11843
362	6729	11809
363	6739	11776
364	6749	11742
365	6759	11708
366	6769	11675
367	6779	11642
368	6788	11609
369	6798	11576
370	6809	11545
371	6820	11514
372	6830	11481
373	6840	11449
374	6850	11417
375	6861	11387
376	6874	11359
377	6883	11327
378	6894	11296
379	6905	11266
380	6914	11234
381	6926	11204
382	6935	11172
383	6945	11141
384	6954	11109
385	6964	11079
386	6976	11050
387	6986	11019
388	6997	10991
389	7008	10961
390	7018	10931
391	7028	10900
392	7038	10871
393	7048	10841
394	7057	10810
395	7066	10778
396	7075	10746
397	7083	10714
398	7092	10682
399	7100	10650
400	7109	10620
401	7119	10590
402	7129	10560
403	7138	10531
404	7150	10505
405	7162	10478
406	7172	10450
407	7182	10421
408	7191	10392
409	7205	10368
410	7215	10340
411	7226	10313
412	7236	10284
413	7246	10257
414	7259	10233
415	7271	10207
416	7281	10180
417	7292	10152
418	7303	10127
419	7313	10099
420	7323	10071
421	7332	10043
422	7342	10015
423	7351	9987
424	7360	9958
425	7369	9929
426	7378	9901
427	7387	9873
428	7400	9850
429	7410	9822
430	7420	9795
431	7429	9767
432	7438	9739
433	7446	9710
434	7454	9682
435	7463	9654
436	7484	9642
437	7492	9614
438	7502	9587
439	7512	9560
440	7522	9534
441	7531	9507
442	7541	9481
443	7549	9454
444	7559	9428
445	7568	9401
446	7578	9375
447	7587	9349
448	7596	9322
449	7604	9293
450	7612	9266
451	7620	9239
452	7628	9211
453	7637	9185
454	7648	9160
455	7655	9133
456	7664	9106
457	7672	9079
458	7680	9052
459	7688	9025
460	7695	8997
461	7703	8970
462	7711	8943
463	7718	8916
464	7727	8890
465	7734	8863
466	7742	8837
467	7752	8812
468	7761	8787
469	7770	8762
470	7778	8736
471	7786	8710
472	7793	8683
473	7801	8657
474	7809	8631
475	7817	8605
476	7824	8579
477	7832	8553
478	7840	8527
479	7850	8504
480	7861	8482
481	7870	8458
482	7879	8434
483	7890	8412
484	7899	8388
485	7908	8363
486	7916	8338
487	7924	8313
488	7933	8290
489	7942	8266
490	7951	8242
491	7960	8219
492	7968	8195
493	7977	8171
494	7986	8147
495	7997	8126
496	8005	8102
497	8014	8078
498	8022	8054
499	8031	8031
500	8039	8007
501	8047	7983
502	8055	7959
503	8063	7935
504	8071	7912
505	8079	7888
506	8087	7864
507	8095	7840
508	8102	7816
509	8110	7792
510	8118	7769
511	8126	7745
512	8136	7724
513	8144	7700
514	8152	7677
515	8159	7653
516	8167	7630
517	8175	7607
518	8186	7587
519	8194	7564
520	8203	7542
521	8212	7519
522	8219	7496
523	8228	7474
524	8236	7452
525	8245	7430
526	8252	7407
527	8261	7385
528	8269	7363
529	8277	7340
530	8285	7318
531	8294	7296
532	8302	7274
533	8310	7251
534	8318	7229
535	8326	7208
536	8335	7186
537	8343	7164
538	8351	7142
539	8359	7120
540	8367	7099
541	8379	7080
542	8387	7059
543	8396	7037
544	8404	7016
545	8412	6995
546	8420	6973
547	8429	6952
548	8436	6930
549	8445	6909
550	8452	6888
551	8461	6867
552	8469	6846
553	8477	6825
554	8485	6803
555	8493	6782
556	8502	6762
557	8510	6740
558	8517	6719
559	8526	6699
560	8534	6678
561	8542	6657
562	8550	6636
563	8558	6615
564	8566	6595
565	8573	6574
566	8581	6553
567	8589	6532
568	8597	6512
569	8605	6491
570	8616	6473
571	8626	6454
572	8636	6435
573	8645	6416
574	8654	6396
575	8663	6377
576	8671	6357
577	8679	6337
578	8688	6317
579	8695	6296
580	8703	6276
581	8711	6256
582	8719	6236
583	8727	6216
584	8735	6197
585	8743	6177
586	8752	6157
587	8760	6138
588	8768	6118
589	8778	6100
590	8787	6081
591	8795	6062
592	8803	6042
593	8812	6023
594	8820	6003
595	8829	5984
596	8837	5965
597	8845	5946
598	8853	5927
599	8861	5907
600	8870	5888
601	8880	5870
602	8888	5851
603	8895	5832
604	8904	5813
605	8911	5794
606	8920	5775
607	8928	5756
608	8936	5737
609	8944	5718
610	8952	5699
611	8959	5680
612	8968	5662
613	8977	5643
614	8985	5625
615	8994	5606
616	9001	5587
617	9010	5569
618	9018	5551
619	9027	5532
620	9035	5514
621	9043	5496
622	9052	5477
623	9060	5459
624	9069	5441
625	9076	5422
626	9085	5404
627	9093	5386
628	9101	5368
629	9109	5349
630	9117	5331
631	9126	5314
632	9134	5295
633	9142	5277
634	9150	5259
635	9157	5241
636	9165	5223
637	9175	5206
638	9183	5187
639	9191	5170
640	9199	5152
641	9208	5135
642	9216	5117
643	9225	5099
644	9233	5081
645	9241	5064
646	9249	5046
647	9257	5028
648	9265	5010
649	9273	4993
650	9281	4975
651	9290	4958
652	9298	4941
653	9306	4923
654	9314	4906
655	9322	4888
656	9330	4871
657	9338	4853
658	9347	4836
659	9355	4819
660	9363	4801
661	9372	4785
662	9380	4768
663	9390	4751
664	9398	4734
665	9407	4717
666	9416	4700
667	9424	4683
668	9433	4667
669	9441	4650
670	9449	4633
671	9457	4616
672	9465	4599
673	9473	4582
674	9481	4565
675	9489	4548
676	9498	4531
677	9506	4514
678	9514	4497
679	9522	4480
680	9530	4464
681	9538	4447
682	9547	4431
683	9555	4414
684	9567	4399
685	9575	4382
686	9584	4366
687	9593	4350
688	9621	4343
689	9631	4327
690	9641	4311
691	9653	4296
692	9662	4280
693	9670	4263
694	9679	4247
695	9687	4231
696	9696	4215
697	9704	4198
698	9713	4182
699	9721	4166
700	9729	4149
701	9736	4133
702	9744	4116
703	9752	4100
704	9760	4084
705	9767	4067
706	9775	4051
707	9783	4035
708	9793	4019
709	9801	4003
710	9809	3987
711	9818	3971
712	9826	3955
713	9834	3939
714	9842	3923
715	9850	3907
716	9858	3891
717	9868	3875
718	9876	3859
719	9884	3843
720	9892	3827
721	9900	3811
722	9908	3796
723	9916	3780
724	9924	3764
725	9932	3748
726	9941	3733
727	9951	3718
728	9959	3702
729	9968	3686
730	9976	3671
731	9984	3655
732	9993	3640
733	10001	3624
734	10010	3609
735	10018	3593
736	10027	3578
737	10035	3562
738	10043	3547
739	10051	3531
740	10059	3516
741	10068	3500
742	10076	3485
743	10085	3470
744	10093	3454
745	10102	3439
746	10111	3424
747	10120	3409
748	10129	3394
749	10137	3379
750	10146	3364
751	10155	3349
752	10163	3333
753	10173	3319
754	10181	3303
755	10189	3288
756	10197	3273
757	10205	3258
758	10213	3243
759	10222	3228
760	10230	3212
761	10238	3197
762	10246	3182
763	10254	3167
764	10263	3152
765	10271	3137
766	10280	3122
767	10289	3108
768	10297	3093
769	10306	3078
770	10315	3063
771	10324	3049
772	10333	3034
773	10343	3020
774	10354	3006
775	10364	2991
776	10373	2977
777	10382	2962
778	10391	2948
779	10400	2933
780	10408	2918
781	10418	2904
782	10426	2889
783	10434	2874
784	10443	2860
785	10451	2845
786	10460	2831
787	10468	2816
788	10476	2801
789	10485	2787
790	10493	2772
791	10502	2758
792	10510	2743
793	10519	2729
794	10527	2714
795	10535	2699
796	10542	2685
797	10550	2670
798	10558	2656
799	10566	2641
800	10573	2626
801	10584	2613
802	10593	2598
803	10602	2584
804	10611	2570
805	10618	2555
806	10626	2541
807	10633	2526
808	10641	2512
809	10649	2497
810	10657	2483
811	10664	2469
812	10671	2454
813	10679	2440
814	10687	2425
815	10694	2411
816	10703	2397
817	10710	2383
818	10718	2368
819	10726	2354
820	10734	2340
821	10742	2326
822	10752	2312
823	10760	2298
824	10768	2284
825	10776	2270
826	10783	2255
827	10792	2241
828	10799	2227
829	10807	2213
830	10814	2199
831	10822	2185
832	10829	2171
833	10837	2157
834	10843	2142
835	10852	2129
836	10860	2114
837	10867	2100
838	10875	2086
839	10882	2072
840	10889	2058
841	10896	2044
842	10904	2030
843	10914	2017
844	10922	2003
845	10930	1989
846	10938	1975
847	10945	1962
848	10953	1948
849	10961	1934
850	10968	1920
851	10976	1906
852	10983	1892
853	10991	1879
854	10999	1865
855	11006	1851
856	11013	1837
857	11021	1824
858	11028	1810
859	11036	1796
860	11043	1782
861	11050	1769
862	11057	1755
863	11064	1741
864	11078	1729
865	11097	1717
866	11112	1704
867	11129	1692
868	11144	1680
869	11156	1667
870	11172	1654
871	11186	1642
872	11200	1629
873	11211	1616
874	11222	1603
875	11233	1590
876	11243	1576
877	11252	1563
878	11262	1550
879	11271	1536
880	11280	1523
881	11289	1510
882	11301	1497
883	11311	1484
884	11318	1470
885	11329	1457
886	11341	1444
887	11353	1431
888	11361	1418
889	11369	1405
890	11377	1391
891	11385	1378
892	11393	1365
893	11402	1351
894	11410	1338
895	11418	1325
896	11426	1312
897	11436	1298
898	11445	1285
899	11453	1272
900	11461	1259
901	11469	1246
902	11476	1232
903	11484	1219
904	11492	1206
905	11499	1193
906	11507	1179
907	11514	1166
908	11522	1153
909	11532	1140
910	11540	1127
911	11549	1114
912	11557	1101
913	11566	1088
914	11574	1075
915	11581	1062
916	11590	1049
917	11598	1036
918	11607	1023
919	11615	1010
920	11625	997
921	11636	984
922	11646	971
923	11657	958
924	11667	946
925	11677	933
926	11687	920
927	11696	907
928	11706	894
929	11717	881
930	11728	869
931	11743	856
932	11753	844
933	11763	831
934	11771	818
935	11780	805
936	11788	792
937	11796	779
938	11804	766
939	11812	753
940	11820	741
941	11828	728
942	11837	715
943	11844	702
944	11853	689
945	11861	677
946	11869	664
947	11877	651
948	11885	638
949	11893	625
950	11902	613
951	11915	600
952	11925	588
953	11935	575
954	11947	562
955	11958	550
956	11967	537
957	11977	525
958	11987	512
959	11997	499
960	12008	487
961	12019	474
962	12028	462
963	12039	449
964	12048	437
965	12059	424
966	12068	411
967	12078	399
968	12087	386
969	12097	374
970	12107	361
971	12115	349
972	12125	336
973	12134	323
974	12142	311
975	12150	298
976	12159	286
977	12168	273
978	12177	261
979	12186	248
980	12195	236
981	12219	223
982	12227	211
983	12237	198
984	12245	186
985	12253	173
986	12261	161
987	12270	149
988	12278	136
989	12286	124
990	12294	111
991	12303	99
992	12311	86
993	12319	74
994	12327	61
995	12336	49
996	12345	37
997	12353	24
998	12361	12
999	12369	0
